"Team","Opponent","Shots","Att_rating","Def_rating","Venue","Time"
"palmas","osasuna",6,71.6666666666667,76.375,"0",13
"palmas","betis",15,72.2222222222222,76.8333333333333,"0",14
"palmas","getafe",11,73.2222222222222,76.25,"1",15
"getafe","barcelona",5,73.7142857142857,84,"1",1
"getafe","girona",9,73.8571428571429,77.1428571428571,"0",2
"getafe","deportivo alaves",14,73.7142857142857,73.1428571428571,"1",3
"getafe","real madrid",6,74.1666666666667,83.625,"0",4
"getafe","osasuna",11,74,72.7142857142857,"1",5
"getafe","sociedad",9,74.5714285714286,75.8571428571429,"0",6
"getafe","athletic",13,74.6666666666667,78,"0",7
"getafe","villarreal",22,75.75,79.2857142857143,"1",8
"getafe","celta",3,75,75.1666666666667,"0",9
"getafe","betis",13,75,75.8571428571429,"1",10
"getafe","mallorca",8,73.5714285714286,74.75,"0",11
"getafe","cadiz",13,74.375,73.1666666666667,"1",12
"getafe","granada",10,74.8888888888889,72.4285714285714,"0",13
"getafe","almeria",18,74.4444444444444,75,"1",14
"getafe","palmas",12,75.75,72.625,"0",15
"valencia","sevilla",10,75.1666666666667,80.8333333333333,"0",1
"valencia","palmas",8,75.1666666666667,72.625,"1",2
"valencia","osasuna",16,73.8333333333333,72.2857142857143,"1",3
"valencia","deportivo alaves",9,75.1428571428571,73.2857142857143,"0",4
"valencia","atletico madrid",12,73.75,80.2857142857143,"1",5
"valencia","almeria",7,73.625,75.2857142857143,"0",6
"valencia","sociedad",9,74,75.5714285714286,"1",7
"valencia","betis",9,70.6666666666667,78.7142857142857,"0",8
"valencia","mallorca",11,72.4285714285714,75.25,"0",9
"valencia","cadiz",12,73.25,73.4,"1",10
"valencia","athletic",11,73.25,76,"0",11
"valencia","granada",10,73.25,72.1428571428571,"1",12
"valencia","real madrid",10,72.875,84.1666666666667,"0",13
"valencia","celta",8,72.875,75.2857142857143,"1",14
"valencia","girona",9,71.8571428571429,76.4285714285714,"0",15
"vallecano","almeria",8,78,76,"0",1
"vallecano","granada",17,78,72.2857142857143,"0",2
"vallecano","atletico madrid",12,78.1428571428571,80.4285714285714,"1",3
"vallecano","betis",15,79,78.6666666666667,"0",4
"vallecano","deportivo alaves",19,76.8571428571429,72.375,"1",5
"vallecano","villarreal",11,77.4285714285714,79,"1",6
"vallecano","cadiz",9,77.3333333333333,74.2,"0",7
"vallecano","mallorca",18,76.8571428571429,75.75,"1",8
"vallecano","sevilla",7,78.8333333333333,77.7142857142857,"0",9
"vallecano","palmas",11,78,72.4285714285714,"0",10
"vallecano","sociedad",16,78.1428571428571,76.2857142857143,"1",11
"vallecano","real madrid",4,76.8333333333333,84.125,"0",12
"vallecano","girona",22,76.4285714285714,76.5714285714286,"1",13
"vallecano","barcelona",10,77.2857142857143,83.1666666666667,"1",14
"vallecano","athletic",11,77.5,77,"0",15
"villarreal","betis",18,78.6666666666667,76.6,"1",1
